archetype,cluster_id,total_cost,node_count,cpu_utilization,memory_utilization,cpu_gap,memory_gap,cost_distribution,optimization_opportunities,optimization_maturity,team_experience,change_tolerance,success_probability,typical_issues,scaling_behavior,size_category,team_size,funding_stage,growth_rate_monthly,technical_debt_level,monitoring_maturity,change_frequency,optimization_priorities,budget_sensitivity,risk_tolerance,implementation_month,implementation_day_of_week,implementation_hour,complexity_factor,implementation_success,savings_accuracy,total_duration_minutes,commands_executed,commands_successful,commands_failed,customer_satisfaction,stability_period_clean,time_to_first_benefit,success_factors,post_optimization_improvements,failure_factors,rollbacks_performed,lessons_learned,compliance_requirements,change_approval_process,budget_cycle,process_maturity,automation_level,monitoring_sophistication,stakeholder_complexity,industry,regulatory_overhead,uptime_requirements,peak_hours,seasonal_pattern,customer_impact_sensitivity,performance_requirements,geographic_distribution,seasonal_multiplier,edge_case_type,documentation_quality,test_coverage,challenge_factors,cost_per_node,utilization_efficiency,waste_factor,optimization_score,complexity_risk_ratio,is_business_hours,is_weekend,predicted_success_prob,actual_success
growth_stage_startup,cluster_49840,2381.676780628647,12.0,62.4935588212106,71.96514829964164,40.63420141724968,28.64854362887769,"{'compute_percentage': 49.772950802758, 'storage_percentage': 21.914952126146865, 'networking_percentage': 17.179980078167524, 'control_plane_percentage': 11.132116992927612, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing']",intermediate,mixed,medium,0.5917790149695724,"['scaling_pain', 'cost_spike', 'performance_bottleneck']",growth_focused,medium,5.0,series_a,0.0067900230298218196,0.8216443614157987,0.06142670419233179,3.0,"['cost_reduction', 'performance', 'scalability']",0.8565956885064017,0.3741647696150516,6,5,3,0.49026426940155354,True,0.6323156190877846,87,9,9,0,4.901825846015268,True,43.929179378931224,"['adequate_testing', 'phased_rollout', 'stakeholder_buy_in', 'experienced_team', 'good_documentation']","{'cpu_utilization_improvement': 0.28472725292763834, 'memory_utilization_improvement': 0.14263787508626757, 'cost_reduction_achieved': 0.11171823933597014, 'performance_improvement': 0.1148894547620221, 'automation_score_improvement': 0.20641176692907146}",,,,,,,,,,,,,,,,,,,,,,,,198.47306505238726,0.6722935356042612,0.3464137252306368,0.43940182748711337,0.8284583552303921,0,0,0.5917790149695724,1
early_stage_startup,cluster_12459,585.7443294327995,4.0,32.889126166325006,48.05359729901388,72.22796220484804,53.095243513329265,"{'compute_percentage': 60.205510601452794, 'storage_percentage': 20.148626270267535, 'networking_percentage': 11.355280844230384, 'control_plane_percentage': 8.290582284049277, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing']",basic,junior,high,0.6399036582827864,"['over_provisioning', 'no_monitoring', 'manual_scaling']",reactive,small,5.0,seed,0.006945751382427603,0.1893256069584065,0.2127346215244228,11.0,"['cost_reduction', 'performance', 'scalability']",0.6613669903843828,0.3900251351407421,3,5,6,0.4732921879104021,False,0.2831534954649095,209,8,5,3,1.3548522360340958,False,-1.0,,,['time_pressure'],1.0,"['Improve monitoring and alerting during optimization', 'Need better stakeholder communication', 'Implement automated rollback procedures']",,,,,,,,,,,,,,,,,,,,,146.43608235819988,0.4047136173266944,0.6266160285908865,0.15111357772078937,0.7396303830806429,0,0,0.6399036582827864,0
early_stage_startup,cluster_28441,742.4978293476426,2.0,33.17738404655763,47.38071958643953,67.88243999455719,51.94420449417837,"{'compute_percentage': 58.55642562405363, 'storage_percentage': 12.856672811939307, 'networking_percentage': 15.2350830987914, 'control_plane_percentage': 13.351818465215665, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing']",basic,junior,high,0.59657547479572,"['over_provisioning', 'no_monitoring', 'manual_scaling']",reactive,small,4.0,series_c,0.22979039400257376,0.3551896920672029,0.15827235614740237,8.0,"['cost_reduction', 'performance', 'scalability']",0.9868065976612012,0.6900765085845111,6,2,21,0.7246945907620469,False,0.1765177032830594,129,7,3,4,1.7216017132676034,False,-1.0,,,"['team_inexperience', 'resource_contention', 'poor_monitoring']",1.0,"['Need better stakeholder communication', 'Require more comprehensive testing in staging environment', 'Improve monitoring and alerting during optimization']",,,,,,,,,,,,,,,,,,,,,371.2489146738213,0.4027905181649858,0.5991332224436777,0.16146533704703914,1.2147575979555605,0,0,0.59657547479572,0
growth_stage_startup,cluster_24230,4384.5487683656565,19.0,52.859794053503904,75.72194111981807,45.73378675686382,22.869252309800586,"{'compute_percentage': 43.68603679361458, 'storage_percentage': 25.028148428457243, 'networking_percentage': 24.529150982429744, 'control_plane_percentage': 6.756663795498431, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing', 'storage_optimization']",intermediate,mixed,medium,0.6233830498111129,"['scaling_pain', 'cost_spike', 'performance_bottleneck']",growth_focused,medium,2.0,series_b,0.027029859751303842,0.9264465292335997,0.42866539503632894,3.0,"['cost_reduction', 'performance', 'scalability']",0.8918079908446986,0.7687827542451541,3,5,5,0.3239188334402742,True,0.9131741388217682,66,7,7,0,4.174955608348393,True,19.73358917146706,"['phased_rollout', 'comprehensive_monitoring', 'maintenance_window_used', 'stakeholder_buy_in']","{'cpu_utilization_improvement': 0.244428231168388, 'memory_utilization_improvement': 0.1260319861815143, 'cost_reduction_achieved': 0.10860260150734208, 'performance_improvement': 0.06313162613244587, 'automation_score_improvement': 0.0598140686064936}",,,,,,,,,,,,,,,,,,,,,,,,230.76572465082404,0.6429086758666099,0.34301519533332203,0.4223812308327373,0.5196144385677838,0,0,0.6233830498111129,1
early_stage_startup,cluster_33804,560.6914263311754,3.0,53.475603559775706,60.8126066451762,46.27722919827991,42.62801657424211,"{'compute_percentage': 66.88367085617168, 'storage_percentage': 13.949273561134362, 'networking_percentage': 11.793370314482495, 'control_plane_percentage': 7.37368526821147, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing', 'storage_optimization']",basic,junior,high,0.6028153595904797,"['over_provisioning', 'no_monitoring', 'manual_scaling']",reactive,small,3.0,series_a,0.01844438072958409,0.8749142491285821,0.6149216824587195,15.0,"['cost_reduction', 'performance', 'scalability']",0.8347165428170565,0.7351620929014682,7,4,1,0.21207846848048909,False,0.2352831956513442,104,4,3,1,1.269273427079731,False,-1.0,,,"['poor_monitoring', 'resource_contention']",3.0,"['Improve monitoring and alerting during optimization', 'Need better team training on optimization tools']",,,,,,,,,,,,,,,,,,,,,186.8971421103918,0.5714410510247595,0.4445262288626101,0.31742051559543677,0.35181331249516234,0,0,0.6028153595904797,0
growth_stage_startup,cluster_44538,2214.174181261647,9.0,45.06657885481126,67.76728450449544,52.72464497423239,33.8069068840516,"{'compute_percentage': 45.55777190959955, 'storage_percentage': 32.54013320239382, 'networking_percentage': 16.00471935160095, 'control_plane_percentage': 5.897375536405669, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing', 'storage_optimization']",intermediate,mixed,medium,0.5968572814207462,"['scaling_pain', 'cost_spike', 'performance_bottleneck']",growth_focused,medium,4.0,series_c,0.14513717601020087,0.8776902220712899,0.12684048076093019,10.0,"['cost_reduction', 'performance', 'scalability']",0.7817450316546033,0.7525908009854976,2,4,4,0.30075971605487883,True,0.776657695470595,80,9,9,0,4.580581280454849,True,23.364322505876864,"['phased_rollout', 'adequate_testing', 'thorough_preparation', 'stakeholder_buy_in', 'rollback_plan_ready']","{'cpu_utilization_improvement': 0.28785095836316665, 'memory_utilization_improvement': 0.18327713933117, 'cost_reduction_achieved': 0.05269496051991406, 'performance_improvement': 0.050383350952770745, 'automation_score_improvement': 0.0006531884128277768}",,,,,,,,,,,,,,,,,,,,,,,,246.01935347351633,0.5641693167965335,0.43265775929142,0.320077084330374,0.5039055824852415,0,0,0.5968572814207462,1
early_stage_startup,cluster_93012,1222.8479464451914,7.0,41.729125775776296,62.54911658116529,59.379469903600466,40.82040776568962,"{'compute_percentage': 60.217256319732314, 'storage_percentage': 19.90027387285549, 'networking_percentage': 11.094576193262661, 'control_plane_percentage': 8.787893614149539, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing', 'storage_optimization']",basic,junior,high,0.5478393931895769,"['over_provisioning', 'no_monitoring', 'manual_scaling']",reactive,small,5.0,series_b,0.08937699165416046,0.8536455907801278,0.05337271586778738,4.0,"['cost_reduction', 'performance', 'scalability']",0.935185620368223,0.5934594176006545,8,5,15,0.7399481473843477,True,0.6,62,11,11,0,4.800291655315166,True,30.85237672379013,"['comprehensive_monitoring', 'experienced_team']","{'cpu_utilization_improvement': 0.2711824560156114, 'memory_utilization_improvement': 0.24797468873948864, 'cost_reduction_achieved': 0.1365252714879754, 'performance_improvement': 0.05028751051237835, 'automation_score_improvement': 0.18671352183260434}",,,,,,,,,,,,,,,,,,,,,,,,174.6925637778845,0.5213912117847079,0.5009993883464504,0.2601745335913547,1.3506661926523649,1,0,0.5478393931895769,1
early_stage_startup,cluster_83151,1431.0897910549324,6.0,52.48661416506761,60.33443952316987,45.365956893358344,41.681477340869506,"{'compute_percentage': 62.40038569885782, 'storage_percentage': 17.217861133204703, 'networking_percentage': 8.933274099972856, 'control_plane_percentage': 11.448479067964607, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing']",basic,junior,high,0.6016936378647332,"['over_provisioning', 'no_monitoring', 'manual_scaling']",reactive,small,5.0,series_a,0.061961450066513914,0.7481337982568106,0.35891204772641644,10.0,"['cost_reduction', 'performance', 'scalability']",0.8382053153976213,0.8394498843962974,10,3,19,0.3195885511504385,False,0.21684180193522645,99,11,6,5,2.3905557821406003,False,-1.0,,,"['poor_monitoring', 'technical_debt_issues']",2.0,"['Require more comprehensive testing in staging environment', 'Improve monitoring and alerting during optimization', 'Need better stakeholder communication', 'Implement gradual rollout instead of big-bang approach']",,,,,,,,,,,,,,,,,,,,,238.51496517582208,0.5641052684411874,0.43523717117113925,0.31858568716210883,0.531148297137696,0,0,0.6016936378647332,0
early_stage_startup,cluster_30663,1940.1184163440103,4.0,25.595310011087577,46.50890399288169,76.63070393645583,50.42365985505208,"{'compute_percentage': 62.66124268749142, 'storage_percentage': 14.493638504871162, 'networking_percentage': 11.705343564391905, 'control_plane_percentage': 11.139775243245523, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing']",basic,junior,high,0.6690570231981828,"['over_provisioning', 'no_monitoring', 'manual_scaling']",reactive,small,11.0,series_b,0.04109882428468669,0.5285328385566448,0.31486773461229906,12.0,"['cost_reduction', 'performance', 'scalability']",0.8513589205807652,0.835655207852427,4,3,10,0.6629559059499917,True,0.8015437247202412,109,8,7,1,3.87836868954695,True,46.63889544908897,"['adequate_testing', 'rollback_plan_ready', 'good_documentation']","{'cpu_utilization_improvement': 0.17287838928056437, 'memory_utilization_improvement': 0.11873084759046441, 'cost_reduction_achieved': 0.1773375469842265, 'performance_improvement': 0.05082852624637055, 'automation_score_improvement': 0.05083952699302153}",,,,,,,,,,,,,,,,,,,,,,,,485.02960408600256,0.3605210700198464,0.6352718189575396,0.13149219409582008,0.9908810205458617,1,0,0.6690570231981828,1
growth_stage_startup,cluster_10473,3555.7453972304397,16.0,44.56313748461464,79.25874338367743,54.277509542264255,20.07689950395968,"{'compute_percentage': 44.58584200785517, 'storage_percentage': 28.032874475939817, 'networking_percentage': 17.91171861757662, 'control_plane_percentage': 9.469564898628397, 'registry_percentage': 1, 'other_percentage': 1}","['hpa_optimization', 'resource_rightsizing']",intermediate,mixed,medium,0.6684394196186567,"['scaling_pain', 'cost_spike', 'performance_bottleneck']",growth_focused,medium,12.0,series_b,0.1424238844264896,0.9508031066733427,0.14749652619157444,7.0,"['cost_reduction', 'performance', 'scalability']",0.9937196890367128,0.6602752058978679,4,5,10,0.447258815869287,True,0.8082583097606906,76,7,7,0,4.574748846325507,True,49.77914073322999,"['adequate_testing', 'good_baseline_measurement', 'stakeholder_buy_in', 'phased_rollout']","{'cpu_utilization_improvement': 0.2965522766448174, 'memory_utilization_improvement': 0.10766433903363608, 'cost_reduction_achieved': 0.07996333436490215, 'performance_improvement': 0.03504692489981482, 'automation_score_improvement': 0.23344969504190288}",,,,,,,,,,,,,,,,,,,,,,,,222.23408732690248,0.6191094043414603,0.3717720452311197,0.38894183486761535,0.6691089764341654,1,0,0.6684394196186567,1
